time,close,capital,position,trade_pnl
2025-04-02 10:08:00,1896.67,1000.0,0.0,0.0
2025-04-02 10:09:00,1897.03,1000.0,0.0,0.0
2025-04-02 10:10:00,1894.46,1000.0,0.0,0.0
2025-04-02 10:11:00,1891.79,1000.0,0.0,0.0
2025-04-02 10:12:00,1895.8,1000.0,0.0,0.0
2025-04-02 10:13:00,1896.57,1000.0,0.0,0.0
2025-04-02 10:14:00,1891.92,1000.0,0.0,0.0
2025-04-02 10:15:00,1892.4,1000.0,0.0,0.0
2025-04-02 10:16:00,1894.37,1000.0,0.0,0.0
2025-04-02 10:17:00,1893.01,1000.0,0.0,0.0
2025-04-02 10:18:00,1895.03,750.0,-1.0,0.0
2025-04-02 10:19:00,1894.46,750.0,-1.0,0.0751966987329932
2025-04-02 10:20:00,1891.48,750.0,-1.0,0.46833031667044256
2025-04-02 10:21:00,1893.79,750.0,-1.0,0.1635858007524959
2025-04-02 10:22:00,1893.78,750.0,-1.0,0.16490504108114384
2025-04-02 10:23:00,1897.41,750.0,-1.0,-0.3139791982185123
2025-04-02 10:24:00,1900.61,750.0,-1.0,-0.7361361033862166
2025-04-02 10:25:00,1900.83,750.0,-1.0,-0.7651593906165015
2025-04-02 10:26:00,1902.73,750.0,-1.0,-1.0158150530598522
2025-04-02 10:27:00,1906.27,750.0,-1.0,-1.4828261294016467
2025-04-02 10:28:00,1906.69,750.0,-1.0,-1.5382342232049206
2025-04-02 10:29:00,1905.15,750.0,-1.0,-1.3350712125929562
2025-04-02 10:30:00,1906.61,750.0,-1.0,-1.5276803005757071
2025-04-02 10:31:00,1904.13,750.0,-1.0,-1.2005086990707452
2025-04-02 10:32:00,1907.48,750.0,-1.0,-1.6424542091681988
2025-04-02 10:33:00,1908.2,750.0,-1.0,-1.7374395128309412
2025-04-02 10:34:00,1911.77,750.0,-1.0,-2.2084083101586796
2025-04-02 10:35:00,1911.53,750.0,-1.0,-2.1767465422710988
2025-04-02 10:36:00,1908.96,750.0,-1.0,-1.8377017778082754
2025-04-02 10:37:00,1912.49,750.0,-1.0,-2.303393613821422
2025-04-02 10:38:00,1910.23,750.0,-1.0,-2.0052452995467154
2025-04-02 10:39:00,1906.81,750.0,-1.0,-1.554065107148696
2025-04-02 10:40:00,1905.34,750.0,-1.0,-1.3601367788372674
2025-04-02 10:41:00,1905.28,750.0,-1.0,-1.3522213368653795
2025-04-02 10:42:00,1903.33,750.0,-1.0,-1.094969472778789
2025-04-02 10:43:00,1902.38,750.0,-1.0,-0.9696416415571438
2025-04-02 10:44:00,1898.96,750.0,-1.0,-0.5184614491591246
2025-04-02 10:45:00,1901.03,750.0,-1.0,-0.7915441971894905
2025-04-02 10:46:00,1904.02,750.0,-1.0,-1.1859970554555879
2025-04-02 10:47:00,1902.9,750.0,-1.0,-1.0382421386468972
2025-04-02 10:48:00,1898.91,750.0,-1.0,-0.5118652475158849
2025-04-02 10:49:00,1897.29,750.0,-1.0,-0.2981483142747069
2025-04-02 10:50:00,1900.74,750.0,-1.0,-0.7532862276586699
2025-04-02 10:51:00,1901.59,750.0,-1.0,-0.8654216555938358
2025-04-02 10:52:00,1904.84,750.0,-1.0,-1.2941747624048097
2025-04-02 10:53:00,1903.32,750.0,-1.0,-1.0936502324501411
2025-04-02 10:54:00,1899.47,750.0,-1.0,-0.5857427059202301
2025-04-02 10:55:00,1902.88,750.0,-1.0,-1.0356036579896013
2025-04-02 10:56:00,1903.39,750.0,-1.0,-1.102884914750707
2025-04-02 10:57:00,1903.08,750.0,-1.0,-1.0619884645625604
2025-04-02 10:58:00,1901.67,750.0,-1.0,-0.8759755782230493
2025-04-02 10:59:00,1904.89,750.0,-1.0,-1.3007709640480796
2025-04-02 11:00:00,1902.05,750.0,-1.0,-0.9261067107117015
2025-04-02 11:01:00,1904.7,750.0,-1.0,-1.2757053978037385
2025-04-02 11:02:00,1907.57,750.0,-1.0,-1.6543273721260303
2025-04-02 11:03:00,1909.29,750.0,-1.0,-1.8812367086536879
2025-04-02 11:04:00,1907.94,750.0,-1.0,-1.7031392642860645
2025-04-02 11:05:00,1905.42,750.0,-1.0,-1.3706907014664809
2025-04-02 11:06:00,1908.3,750.0,-1.0,-1.7506319161174206
2025-04-02 11:07:00,1908.76,750.0,-1.0,-1.8113169712352866
2025-04-02 11:08:00,1910.14,750.0,-1.0,-1.9933721365888837
2025-04-02 11:09:00,1911.59,750.0,-1.0,-2.1846619842429864
2025-04-02 11:10:00,1916.34,997.5,0.0,0.0
2025-04-02 11:11:00,1918.1,997.5,0.0,0.0
2025-04-02 11:12:00,1921.06,997.5,0.0,0.0
2025-04-02 11:13:00,1923.28,997.5,0.0,0.0
2025-04-02 11:14:00,1921.65,997.5,0.0,0.0
2025-04-02 11:15:00,1918.9,997.5,0.0,0.0
2025-04-02 11:16:00,1923.2,997.5,0.0,0.0
2025-04-02 11:17:00,1921.98,997.5,0.0,0.0
2025-04-02 11:18:00,1926.31,997.5,0.0,0.0
2025-04-02 11:19:00,1931.0,997.5,0.0,0.0
2025-04-02 11:20:00,1933.77,997.5,0.0,0.0
2025-04-02 11:21:00,1935.29,997.5,0.0,0.0
2025-04-02 11:22:00,1932.46,997.5,0.0,0.0
2025-04-02 11:23:00,1929.7,997.5,0.0,0.0
2025-04-02 11:24:00,1930.84,997.5,0.0,0.0
2025-04-02 11:25:00,1927.95,997.5,0.0,0.0
2025-04-02 11:26:00,1927.74,997.5,0.0,0.0
2025-04-02 11:27:00,1929.03,997.5,0.0,0.0
2025-04-02 11:28:00,1930.47,997.5,0.0,0.0
2025-04-02 11:29:00,1928.21,997.5,0.0,0.0
2025-04-02 11:30:00,1929.64,997.5,0.0,0.0
2025-04-02 11:31:00,1924.27,997.5,0.0,0.0
2025-04-02 11:32:00,1924.67,748.125,-1.0,0.0
2025-04-02 11:33:00,1926.94,748.125,-1.0,-0.29411860214997654
2025-04-02 11:34:00,1932.7,748.125,-1.0,-1.0404283591472787
2025-04-02 11:35:00,1933.82,748.125,-1.0,-1.1855441452300735
2025-04-02 11:36:00,1934.08,748.125,-1.0,-1.2192317384278673
2025-04-02 11:37:00,1937.36,748.125,-1.0,-1.6442136833846615
2025-04-02 11:38:00,1936.06,748.125,-1.0,-1.4757757173956927
